company,year,month,period,sentiment_score,revenue_growth,esg_score,employee_rating,market_share,media_mentions,customer_satisfaction,reputation_score,event_note,date,text,market_noise
TCS,2014,Jan,2014-01,-0.251,0.0789,65.78,3.98,17.93,401,4.06,0.6421,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable,-0.035
TCS,2014,Feb,2014-02,0.901,0.0742,65.65,3.74,17.86,439,3.71,0.6186,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile,-0.016
TCS,2014,Mar,2014-03,0.464,0.0835,63.78,3.84,17.73,307,4.05,0.6333,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable,-0.02
TCS,2014,Apr,2014-04,0.197,0.0775,63.29,3.73,18.03,327,3.94,0.6187,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate,-0.073
TCS,2014,May,2014-05,-0.688,0.0777,64.28,4.02,18.0,335,3.98,0.632,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate,0.015
TCS,2014,Jun,2014-06,-0.688,0.0857,62.65,3.64,18.06,479,3.92,0.6222,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile,0.013
TCS,2014,Jul,2014-07,-0.884,0.0836,63.23,3.71,17.86,504,3.93,0.632,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong,0.0
TCS,2014,Aug,2014-08,0.732,0.0856,64.54,3.72,18.18,502,3.99,0.6279,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate,-0.012
TCS,2014,Sep,2014-09,0.202,0.0845,65.4,3.92,17.86,405,3.79,0.6359,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain,-0.071
TCS,2014,Oct,2014-10,0.416,0.0875,66.63,3.79,18.3,448,3.84,0.6308,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate,-0.021
TCS,2014,Nov,2014-11,-0.959,0.0903,64.96,3.99,17.21,485,3.91,0.6418,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate,-0.017
TCS,2014,Dec,2014-12,0.94,0.0837,62.61,3.77,18.11,538,3.85,0.6264,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong,-0.04
TCS,2015,Jan,2015-01,0.665,0.086,68.1,3.94,18.34,461,4.01,0.6499,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable,-0.008
TCS,2015,Feb,2015-02,-0.575,0.0824,66.61,3.85,18.06,443,4.03,0.6469,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate,0.02
TCS,2015,Mar,2015-03,-0.636,0.0961,65.3,3.85,18.4,355,3.98,0.6584,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile,0.094
TCS,2015,Apr,2015-04,-0.633,0.1021,67.21,3.93,18.48,266,4.0,0.6628,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable,0.009
TCS,2015,May,2015-05,-0.392,0.1097,66.77,3.94,18.49,326,4.11,0.6731,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain,0.013
TCS,2015,Jun,2015-06,0.05,0.1003,65.91,4.07,18.08,466,4.22,0.6771,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong,-0.004
TCS,2015,Jul,2015-07,-0.136,0.0915,67.12,3.84,18.03,425,3.89,0.6509,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain,-0.096
TCS,2015,Aug,2015-08,-0.418,0.0856,68.86,3.81,18.4,485,3.88,0.652,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable,-0.001
TCS,2015,Sep,2015-09,0.224,0.1075,65.07,3.92,18.58,482,3.88,0.6672,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable,0.003
TCS,2015,Oct,2015-10,-0.721,0.0952,67.36,3.93,18.6,365,4.02,0.6534,,2015-10-01,TCS performance in October 2015 with reputation score 0.6534 showing stable,0.123
TCS,2015,Nov,2015-11,-0.416,0.0823,69.24,3.96,18.14,472,3.9,0.6484,,2015-11-01,TCS performance in November 2015 with reputation score 0.6484 showing uncertain,-0.01
TCS,2015,Dec,2015-12,-0.267,0.1023,66.02,4.02,18.62,485,4.19,0.6767,,2015-12-01,TCS performance in December 2015 with reputation score 0.6767 showing stable,0.015
TCS,2016,Jan,2016-01,-0.088,0.074,67.93,3.7,18.98,447,3.93,0.6358,,2016-01-01,TCS performance in January 2016 with reputation score 0.6358 showing uncertain,-0.002
TCS,2016,Feb,2016-02,0.57,0.0781,70.74,3.77,19.82,470,3.81,0.6451,,2016-02-01,TCS performance in February 2016 with reputation score 0.6451 showing stable,-0.058
TCS,2016,Mar,2016-03,-0.601,0.0919,68.73,3.89,19.14,414,3.82,0.6565,,2016-03-01,TCS performance in March 2016 with reputation score 0.6565 showing volatile,0.057
TCS,2016,Apr,2016-04,0.028,0.0734,70.03,3.83,18.63,417,3.94,0.6291,Leadership transition — Rajesh Gopinathan becomes CEO,2016-04-01,TCS performance in April 2016 with reputation score 0.6291 showing stable,0.038
